brand,jenis_mobil,tahun_kendaraan,warna,transmisi,kilometer,mesin_enginecc,bahan_bakar,dirakit,penumpang,pintu,harga
Mercedes-Benz,Sedan,2018,Hitam,Automatic,12500,2999,Pertamax,Complete Knock Down (CKD),5,4,1200000000
Mercedes-Benz,Sedan,2014,Hitam,Automatic,32500,2996,Pertamax,Complete Built Up (CBU),5,4,695000000
BMW,Wagon,2018,Kuning,Automatic,22500,1499,Pertamax,Complete Built Up (CBU),5,5,550000000
Honda,Hatchback,2019,Hitam,Manual,32500,1199,Pertamax,Complete Knock Down (CKD),5,5,137000000
Toyota,SUV,2013,Hitam,Automatic,32500,4461,Solar,Complete Built Up (CBU),8,5,1270000000
Land Rover,SUV,2021,Abu-abu,Automatic,12500,1997,Pertamax,Complete Built Up (CBU),5,3,2250000000
Honda,SUV,2019,Merah,Automatic,32500,1497,Pertamax,Complete Knock Down (CKD),5,5,248000000
Toyota,Wagon,2018,Hitam,Automatic,67500,1986,Pertamax,Complete Built Up (CBU),7,5,319000000
KIA,Wagon,2022,Putih,Automatic,22500,1497,Pertamax,Complete Built Up (CBU),7,5,249000000
Honda,SUV,2022,Hitam,Automatic,22500,1498,Pertamax,Complete Knock Down (CKD),5,5,335000000
Mazda,SUV,2022,Hitam,Automatic,22500,2488,Pertamax,Complete Built Up (CBU),5,5,495000000
MINI,Convertible,2017,Putih,Automatic,12500,1998,Pertamax,Complete Built Up (CBU),4,2,775000000
